Product,Review,Sentiment
Milk,Robbery in broad day light,1
Milk,Good,5
Milk,Nice,5
Eggs,Rotten eggs. Fungus like thing on egg shell.,1
Eggs,Nice,5
Eggs,Good,4
Eggs,Vegetables were not of good quality,2
Eggs,Good product.,5
Eggs,Good,4
Eggs,Good,5
Eggs,Fresh also no damage,4
Eggs,I got all the eggs spoiled,1
Bread,Best product.....i used this product before and again ordered it ... thank you Flipkart,5
Bread,Oriented products,5
Bread,Original product...😍😍,5
Bread,Very nice and I am very happy,5
Bread,Nyc,5
Bread,Excellent 👌,5
Bread,Best,4
Bread,good,5
Bread,Out of expectation. Nice product,5
Bread,Bad product,1
Bread,Very bad,1
Bread,Super quality product,3
Bread,Bad smell...don't know..is it ok or not..,3
Bread,Best,4
Bread,Excellent,4
Bread,Super taste pure and organic and I purchased to use in sweet dishes after using kesar in deserts it become more tasty..... Packaging super worth to buy,4
Bread,Okkkkk,4
Bread,Good 👍,4
Butter,"Really delicious , low price too",5
Butter,Good,4
Butter,"First of all it is not butter and nowhere on the pack it is mentioned as butter. I don't think it's good for health. After eating one sandwich made using this, I've thrown the rest of the pack in garbage.",1
Butter,not good in taste,1
Butter,for health it's good it's fat free,5
Butter,BAD PACKING WHOLE BUTTER WAS OUT OF BOX WILL NEVER EVER BUY FROM FLIPKART,1
Butter,Super good thanks Flipkart,5
Butter,Products are good and fresh. Delivery was hassle free. The delivery executive ensured contactless delivery. Guy was highly professional and well behaved. Thanks Flipkart Quick.,5
Butter,good Product,5
Butter,"First of all it is not butter and nowhere on the pack it is mentioned as butter. I don't think it's good for health. After eating one sandwich made using this, I've thrown the rest of the pack in garbage.",1
Butter,not good in taste,1
Butter,BAD PACKING WHOLE BUTTER WAS OUT OF BOX WILL NEVER EVER BUY FROM FLIPKART,1
Butter,no butter test,1
Butter,bad,1
Butter,Not taste,3
Butter,So good,3
Butter,Ok,3
Butter,nice,3
Cheese,Good,4
Cheese,super taste,3
Cheese,not good quality,1
Cheese,Very tasty,5
Cheese,Good,3
Cheese,Ok,5
Cheese,Very polite person.,5
Cheese,Thanks for home delever,5
Cheese,Not good,2
Cheese,not good quality,1
Cheese,Very bad test.,1
Cheese,Not good,2
