,ProfileName,Score,Text
55389,Happy couple,1,I have a black lab/border terrier mix.  She hasn't had any problems with any other rawhide (even the cheap brands).  These made her violently sick with excessive vomiting and diarrhea (I was up all night taking her out every 20 minutes).  This went on for 24 hours with no signs of stopping. She became severely lethargic.  She wouldn't drink water or eat food and our vet decided that we should bring her in to put her on fluids because she became so dehydrated.  In the end it cost $175 in vet bills.  Today she is back to normal and the rawhides are at a garbage dump somewhere.<br /><br />Amazon refunded our money with no problems whatsoever and I would still highly recommend them to consumers.
163001,Paul Alexander,1,It tastes like I licked a mop used on the floor of a Greyhound bus station!
222641,"M. Smith ""cenmad""",1,"I was really happy to find another cat treat that was natural and free of fillers/preservatives/chemicals.  That said, none of my four cats will touch this stuff, even though two of them eat almost anything.  Much better to give them treats like Three Dog Bakery ""We Pity the Kitties"" freeze-dried salmon,  Feline Greenies, or just plain tuna."
96579,Mabes,1,I have two overweight cats and they were put on a high protein diet to lose weight. I was looking for a high protein cat food that I didn't have to purchase at the vet. My cats are not picky eaters and they hated it.  I had to wash the dishes before they would even consider eating another food out of them. My dog wouldn't even clean up the pieces that were on the floor. It is also crumbles very easily so there is a powder residue everywhere.
506376,N. M. Wescott,1,"THERE ARE WARNINGS ALL OVER THE NEWS AND INTERNET!!!  DO NOT FEED THESE TO YOUR DOG!!!!  THEY ARE MADE IN CHINA, AND CHICKEN JERKY MADE IN CHINA HAS BEEN ASSOCIATED WITH NUMEROUS CASES OF KIDNEY FAILURE!  .....You don't have to take my word for it....Google it.<br /><br />I purchased some from Costco, although my Aussie loved them, she started having urinary tract problems.  I immediately threw out the open bag and am returning the unopened bag.  I say a prayer every day, and hope she hasn't been hurt by this product.<br /><br />PLEASE do NOT feed your pet anything that is made outside the USA!!  There are many great products made right here in the USA, yes they may cost a bit more, but Is your pet's health and life really worth saving a few $$$?????<br /><br />DO NOT GIVE THESE TO YOUR DOG!!!!!!!!!!"
78256,Pamela,1,"The only reason this product got a 1 star is I can't give it a 0! The picture and product info lead me to believe I will be getting a plant, I received a seed, one seed and it did not grow. I do read the reviews, and then tend to temper my decisions based on whether or not I am willing to take the risk. However, when  see 1 review I think okay maybe a bad purchase. I chose to make my decision and purchased the ""magic can"". Shame on me, I have now decided to add my review in the hopes that the next buyer will save themselves some headache. The item has not produced a plant of any kind,and I have waited almost a month now. The growing medium is nothing I have ever seen before, sparkles and fluff, and one little seed inside the can. The whole experience was a dud."
141093,"Tomcat ""Techie""",1,"Just ran out of my three year storage. This new garbage is not nutricious. A good product turned bad because some CEO made that decision. One of my last enjoyments in life; and they plugged me on that as well. What is his name; so I can thank him on the street, We need rough men at the ready; to purge men like these in thier ivory towers, Go straight to hell buddy."
216934,"Painter ""Samantha""",1,"You have to use a lot more that the Trader Joe's brand or other brands I have used in the past, including liquid stevia. It is more like a slightly sweetened white powder.<br /><br />This Stevia is the lightest I have ever used. I will not buy it again."
545240,Kelly L. Delahunty,1,I love La Panzanella croccantini but was unsure about what shape they would arrive in through Amazon.  I have always had excellent service and packaging so I thought it was worth a try.  The first box came beautifully packaged with the air-pocket packaging.  The crackers were in great shape and absolutely delicious. I was so pleased that I started the Subscribe and Save feature having these shipped once each month.  The first shipment through Subscribe and Save was completely crushed.  There were 2 small sheets of bubble wrap for 6 packagages and there was nothing between the packages.  Only about 10% of the crackers are in a reasonable enough size to consider eating them.  I went online to customer service and found out that they can't be returned.  This is an expensive item that is fragile and is sent to you with no recourse for return when you're shipped the small fragments due to poor packaging on Amazon's part.  I wouldn't risk it!
330939,Maria Lee,1,"The Bob's Red Mill Gluten Free Pizza Crust was really bad.  The taste and texture.  Also one of the bags had burst open and there was flour all over in the box.  I ordered three different boxes of Gluten Free products with four bags in each box, and the end bag in each box had burst open.  I just called Bob's Red Mill and they were extremely nice and just sent me the bags right away."
160594,buck,1,Not worth the price.<br />Go to local grocery store and get dry package ranch dressing.<br />This has too much salt in it.
293521,"Manuel Feito ""MFG""",1,"your pictures are unrealistic your description it is very dodgy, your dart are bad quality"
119534,dcarr,1,"I just spent $1,400 on dental work for my two dogs, both of whom broke multiple teeth on these bones.  The Bones do prevent tartar build-up but at an unacceptable cost.  I believe this product should carry safety warnings because the vet told us that this is a common problem with the hard bones."
334097,Tryfle,1,"For the price you could get an oil that actually deserves the name ""extra-virgin"" (that refers to the QUALITY of the oil by the way, and not the ORIGIN).  Look up the recent consumer reports review on extra virgin olive oils and try one of those.  I put up with this one until my brother in law gave us a couple of Sciabica's (also available at Amazon), what an unbelievable difference.  Won't use this pig swill again."
477355,eve,1,"Oh gawd.. it tastes so unbelievably aweful I had to leave a feedback!<br />I would so NOT recommend this product to anyone, not even if it's the last thing left to eat on this planet."
143734,"Rouzbeh Salehinia ""Nov""",1,"is this a joke with almost $13.00 difference in price, amazon is ripping us off,lol i mean why but formula online anyway because of the time it takes, but did someone in amazon corp offices did any research or they just thought people wouldn't care?"
49017,Judy,1,"Received two gifts of Omaha Steaks for Christmas and anxiously looked forward to a holiday meal of steak, twice-baked potatoes and apple tartlets.  However, the steaks were tough and very disappointing-the potatoes and tartlets were delicious.  My anticipation for future meals is now quite diminished.  I will, most definitely, share my experience with the gift givers.  Ins't that a shame?"
262592,Rachel K. Walker,1,"Five stars? Really? Who is writing these reviews? This candy is disgusting. The texture was off-putting to start and then the flavor, eeeyuuuckkk just sugar mixed with sugar mixed with even more sugar. Kinda fun to give to people though, as you watch them try to figure out what is happening."
279769,S. Weinberg,1,"I like Folgers coffee, I like chocolate.  How bad could this be?  Turns out very bad.  An overwhelming flavor of cheap hot chocolate drowns out whatever coffee flavor there is."
189853,4HealthyMe,1,"This product may be great for tanning (over your sunscreen of course), but it is not good for cooking unless you are making a coconut pie, cake or cookies (GF of course) because it tastes and smells like coconut.<br /><br />I should have been tipped off by the plastic container and by what appears to be a lower than I expected melting point, but I admit that I was looking for an economical solution to Subscribe & Save for my adult children as I do all that I can to help them eat right.  I am telling them to use this as body oil and I will buy them some Spectrum Naturals Coconut Oil."
515645,Kristie,1,"I had brought these in the store.. They are absolutely horriable! I make mine every year and decided to grab a bag on my way to work. They taste like sea salt water. Very disappointed with them coming from the company. Its a pain to clean and bake your own seeds, but I rather do that then try to eat another on of these."
69914,"M. Copeland ""puddykat""",1,"Until this year, these chocolates were the best.  Kirkland (Costco) has substitutes most of the chocolates with cheaper chocolates.  These are not gourmet chocolates anymore. I won't be buying these anymore.  The countries listed need to be revised.  United States is now one of the chocolate producers.  I'm guessing they are the cheaper, less tasty ones.  Oddly, Switzerland chocolates are last on the list, or the least amount you will get.<br />P.S.  These are only $9.99 at Costco."
413381,Lachen,1,"A package of Gourmet Valley Heirloom Beans Red Calypso Beans were purchased at the very tony Ferry Plaza in San Francisco in January.  For something like ten dollars.  We attempted to cook them over the weekend, but after 17 hours with the beans, which had been pre-soaked overnight, still quite hard, we pitched them, knowing they would be a joke forever.  We realize now that they are called Heirloom Beans because they are from some long ago harvest.  Perhaps during the Great Depression, when beans were carefully stored.  Caution:  Stay far away from even thinking about purchasing these beans!"
144364,"Roadhunter ""Roadhunter""",1,"I wanted so badly to love these peanuts.  The texture is absolutely perfect.  However, the salt quickly sneaks up on your.  They are over salted to the point eating them becomes physically painful.  Huge failure that could easily be turned into a success."
213,"Desert Girl ""chrissylovesherhusband""",1,"As with canidae, Felidae has also changed their formula.  Cats do not like change when it comes to their food.  And they just had to change it without putting it on their label.  We noticed the color of the food had changed and so did the smell.  (As you will notice I have also reviewd the Canidae, and this all happened the same time the dogs were having issues.)<br /><br />Prior to the change in food we had almost lost two of our cats because we had moved to a new home.  If cats get ""upset"" because of a change in enviorment, or a loud noise they can stop eating.  It depends on the cat.  Two of them had stopped eating and had lost a lot of weight.  We took them to the vet and it took months to get them back to normal.  It has been a year since then and they are better.  Then the formula for this food changed.<br /><br />We started to noitce they were not eating as much and it started to bug us.  We asked the shop owner of the feed store and she had no knowledge of any change to the food.  It wasn't until the we were in there with other customers yelling about their dogs food making their dogs sick.  Right away we changed the cats food and they started chowing down and haven't suffered one bit like our dogs have.<br /><br />Cats are sensitve animals and changes to thier food could cause them to stop eating.  Anyone thinking of purchasing this food should not do it!  We have 5 rescued and fixed cats, none of which are picky eaters and the change in this formula could have been the death of them had we not found out about the change in their formula.<br /><br />I urge anyone that has had these problems to go to the consumer affairs website and also the FDA website and write a letter to them to let them know how this has affected your animal.  As with canidae they do not care how the change has affected my animals, and tell me not to buy it.  This is just horrible!"
197419,"James J. Henshaw ""The Shaw""",1,The item was damaged in transit and was returned to the sender by the USPS.  I had to drive 30 miles to the nearest store to purchase the product on Christmas Eve day.
